0,video_id,predicted_tags
0,c00d1b173ed8680c155b773d43af7791,['Спорт: Олимпийские виды спорта: Летние олимпийские виды спорта']
1,6064c4511a067f2e1d1cef81c21421e8,['Спорт: Олимпийские виды спорта: Летние олимпийские виды спорта']
2,3071e2054a02a03150463e514f05fe90,['Бизнес и финансы: Промышленность и сфера услуг: Экология и охрана природы']
3,60867179613376c8b56f0705114a7685,['Транспорт: Типы автомобилей: Автомобили класса люкс']
4,706f44ef4711eaee99035260c2d1ab86,['Здоровый образ жизни']
5,b0941e302f926787c6cb61ff5a166ff1,['Семья и отношения: Воспитание детей: Воспитание детей с особыми потребностями']
6,e0a3fae1b33c2bcf96efc97e8f0a68c0,['Транспорт']
7,90ea0fe1d949031b08366985cd65f53d,['Семья и отношения: Воспитание детей: Интернет-безопасность для детей']
8,70eb088d65994b8cfd1be8d1349b7ad1,['Спорт: Олимпийские виды спорта: Летние олимпийские виды спорта']
9,b13e8b5a9490bc0777d4ac895e8e46f8,['Семья и отношения: Воспитание детей: Воспитание детей в возрасте 4-11 лет']
10,e1752df306182c86be1610004c816744,['Массовая культура: Юмор и сатира']
11,8171c9eb5415db1ab4b9f99ffcbe7d6f,['Семья и отношения: Воспитание детей: Воспитание детей в возрасте 4-11 лет']
12,e17e3bf022a56da3b5e057439f64bbb2,['Бизнес и финансы: Экономика: Цены на бензин']
13,61aa755125f71f3e5a80b8bbd9eb67f8,['Семья и отношения: Воспитание детей: Воспитание детей в возрасте 4-11 лет']
14,81b39b129e9c23d6ddb865bf153dd5ea,['Музыка и аудио: R&B/Соул/Фанк']
15,6239e84c27ca21f7c87903212c5c440b,['Здоровый образ жизни: Здоровье пожилых людей']
16,023114a7952a10d21c3d5c177b5a8351,['Семья и отношения: Воспитание детей: Детские сады и дошкольные учреждения']
17,4228653f1b9ed199b8dc0b2e7eac29e3,['Информационные технологии: Компьютеры и цифровые технологии: Компьютерные сети']
18,126679ba3c89a93f597863f7c9b6fd69,['Книги и литература']
19,1273321026be5fbcf55c4ee4f6490436,['Спорт: Олимпийские виды спорта: Летние олимпийские виды спорта']
20,c294eebf8207cceba52a4d051685f369,['Семья и отношения: Воспитание детей: Воспитание детей с особыми потребностями']
21,f2872916cd06dc8045424d4d8ec23281,['Семья и отношения: Воспитание детей: Воспитание детей в возрасте 4-11 лет']
22,e277d5d3265697fc657e4a86e6ad932e,['Семья и отношения: Воспитание детей: Воспитание детей с особыми потребностями']
23,12932bbd068bc43d236ace3508159159,['Семья и отношения: Воспитание детей: Воспитание детей с особыми потребностями']
